GSM509553 GSM509554 GSM509555 GSM509558 GSM509547 GSM509548 GSM509549 GSM509550 GSM509551 GSM509552
200062_s_at 11.1638149588974 11.0061342369653 11.1986150349413 10.9529830683726 10.990871828774 11.1101100078027 10.9412777831798 10.9949417457627 10.9775300311561 10.9658666793779
200063_s_at 9.33198171536289 9.01755104949884 9.41623408345257 9.11687282050462 9.09556377707 9.18689793201117 9.27083703275652 9.2213922451344 9.29836534146919 9.21925777546992
200064_at 10.0403590879418 9.97412419380461 9.74481188385704 9.27593783859542 10.6763587451711 10.2013345468668 10.0517010571236 9.78653442610287 9.32061766218734 9.54110371900056
200065_s_at 8.83692678803079 8.72647711632609 8.84733311722661 8.59769603200335 9.20837314254577 9.22309000305562 8.84538897964077 8.84793981296258 8.44014919866814 9.05083333928944
200066_at 7.40015178514689 7.41640159737042 7.52725884672763 7.39912183648443 7.52131966774838 7.67881730347114 7.37574251053313 7.54132951904576 7.56446366089302 7.62566847466847
200067_x_at 9.43914586388108 9.35140383758731 9.11760886540496 8.88179278183651 9.28845055987569 9.2980380743472 9.5808651140371 8.98777479756532 8.89657751380711 9.07074325942602
200068_s_at 10.1841206973452 10.2928253853522 10.1557982980066 9.84996637341479 10.3555875216265 10.2383159008811 10.3862907942407 10.077044861665 9.95816119315141 10.1043009167543
200069_at 5.46017849150087 5.22664363441214 5.27334120033745 5.2426298212436 5.24436454819041 5.17267850525904 5.39236922054956 5.35130414181011 5.16795479867072 5.275477497262
200070_at 5.93582653446414 5.86670579654526 5.99385961264953 5.64039727667285 5.88229544434659 5.63181082513212 5.71992385197869 5.56855909088895 5.99832510594634 5.79622940042626
200071_at 5.88846365110832 5.81357765586755 5.41998798341007 4.9078887648374 5.67327204983065 5.26142333318396 5.57892346695914 5.49655210126435 5.14069536809505 5.21150588235515
200072_s_at 7.45741054094545 7.60815330380611 7.46387909217132 7.21357438086766 7.34452745577409 7.13362418250938 6.95197596702951 7.40766013247945 7.38799779380761 7.44636679069917
200073_s_at 6.51641374305475 6.66688026096075 6.8544703248076 6.36527823196375 6.12011906951673 6.70579882270792 7.18775466993605 6.7412525170173 6.57080852699092 6.53179372799622
200074_s_at 8.5149696228276 7.92772440541688 8.32684504560149 7.94794723013201 8.13451852508431 8.25788670509154 8.30737713111325 8.46939682693948 7.95801438929836 8.0364218427768
200075_s_at 8.14604089444177 8.17600950309324 8.37699214397697 7.69238467840987 8.06918127244096 8.50655309510322 7.75890123144891 8.19233721782918 8.55586550759798 8.16417892382663
200076_s_at 7.49095656478965 7.38096183930746 7.39404412887578 7.3761348492506 7.3294098081383 7.2627349556584 7.29837149816622 7.30559842862376 7.35190438100843 7.39706945816159
200077_s_at 11.5391848848498 11.1225873134067 11.028798356158 10.7015810277322 11.1604110314468 11.1523146418377 11.2218180698695 11.1215563507566 10.5897673462658 10.9708185604735
200078_s_at 8.02584017627817 8.34155741622095 8.1224936641598 7.34785965406264 8.1411920248517 8.06216812094622 8.48432031050297 7.8597018981471 7.69119641584616 7.80937289200856
200079_s_at 7.47569776986146 7.40823621078973 7.41012379181482 7.01932214877532 7.47587789363986 7.41314445240337 7.58693221738619 7.19982857789644 6.99198611832161 7.42541797473886
200080_s_at 9.85616389586592 9.56297281047579 9.70642159998671 9.52892551646401 9.65637102011068 9.8029614738114 9.37645300454813 9.61151057101477 9.77116243881184 9.52511109988144
200081_s_at 10.4812821869476 10.0807286550588 10.4665771588679 10.2238652435413 10.1373982041755 10.0869173963592 9.09993175986871 10.3348949353203 10.1704899499809 10.1727064883376
200082_s_at 10.1727758216525 9.90752385646523 10.0872926609951 9.674919442926 9.79782536279141 10.0448884634366 9.95712811257103 10.0783820939656 9.61407613104281 9.89157245079993
200083_at 7.65801368197102 7.7083122704637 7.73526439236864 7.52652687422233 7.90250718986141 7.82950159461649 7.72323247407289 7.51806896130539 7.58374129799657 7.26657291256013
200084_at 7.90022814263381 8.14358217687323 8.38360023438815 7.97356708856991 8.30433719143664 8.49806982385217 8.45999813408979 8.4002002661167 8.09896970890228 8.17742860914877
200085_s_at 9.05246173578625 8.71629718905934 8.92836902794775 8.50145552724344 8.34536579799794 8.49901690328396 8.56757563922887 8.66474851515408 8.94186963273373 8.68493187712223
200086_s_at 9.90315479035314 9.93582743493707 10.1433844143194 9.75258673602509 9.72073228551153 10.1593844992609 10.1830488089556 10.0710361103118 10.0612006052163 9.77305651807777
200087_s_at 7.8887638378475 7.8704248322522 8.09309252439967 7.07405477838054 7.85638883248255 7.92181101410668 8.33278623845479 7.82545931995418 7.92321870600884 7.96946425197458
200088_x_at 10.0441954759943 9.8109438791661 9.99899232631464 9.85366080300982 9.62191782301047 9.68968035232821 9.39520207794853 9.84227746617062 10.0481756617676 10.0144359048073
200089_s_at 9.72434044832637 9.19315847157401 9.76838636644701 9.48011531893298 9.1537000658856 9.36677804609013 8.47602698649538 9.58657255721383 9.8009097820761 9.29694019527643
200090_at 8.8861244640884 8.98916051506357 9.24672923284902 8.83983174905964 8.95853661969137 8.94118783764288 8.97885789412121 9.1117480225656 9.29876533761537 8.97712727270437
200091_s_at 9.37283371097048 8.79265009651372 9.05623613505455 9.09706935887175 8.8217722873643 9.09163004442118 8.72455445190947 8.9037090802246 9.18225018012989 8.94712293250974
200092_s_at 10.6362218531931 10.0738431288514 10.6278856363963 10.2667031016539 9.94293387086861 10.2199539661066 10.101124105413 10.3064315719114 10.5846173999766 10.2046385258908
200093_s_at 7.89839569445722 8.11831428497779 8.05176308926608 7.24284654365285 7.70523082190746 8.48142702120674 9.16354316513411 7.96124553248853 7.54575565255479 7.87240957716832
200094_s_at 9.33027207731729 9.32431986638397 9.39728325002825 9.42885139224448 9.21098043291414 9.56523390265541 8.7858731358394 9.25187334488249 9.37833472293616 8.9839338507494
200095_x_at 12.1244942661502 11.8605893826865 11.877053226522 11.6754305036368 11.5044940607324 11.5270166149371 11.6184156360972 11.6610607255029 11.7913142613549 11.7801485260483
200096_s_at 8.10385883088871 7.79206552051386 7.43198116138215 7.44883148976836 8.10891680861873 7.41331243208095 7.77564792195171 7.54485905227129 7.25011187418688 7.54751490304178
200097_s_at 7.40448860761766 7.68469184957823 7.88603856290969 7.26380348584675 7.39473623438497 7.86797088566987 8.19784719513355 7.80034494548514 7.71824136611308 8.01016995079124
200098_s_at 7.9833713947618 8.47049810679036 8.63094156431205 8.49863797392827 8.11794221169528 8.49484447271058 8.48290613665286 8.68669974917902 9.0262103281806 8.34212143311292
200099_s_at 10.519855496607 10.3140332449608 10.4659866063715 10.1717699210822 10.1501645599028 10.3402082847669 10.2904624461614 10.2719854396905 10.2168895781099 10.087016084065
200593_s_at 6.86695000380723 6.61925201929355 6.52458954619308 6.41970882825761 6.68373594193123 6.72224181251121 6.65229134189554 6.78680810850566 6.61680252781452 6.55858712092506
200595_s_at 6.56401147163793 6.30720859289075 6.92045111683238 6.4521690988442 6.19523977758176 6.52014120702343 6.12699692660649 6.53507381345882 7.01057737958433 6.48652366216815
200599_s_at 9.70131842593833 8.25607785756845 8.66865905346965 8.02648191909974 9.60218208977758 8.5174900591036 8.59556775773151 8.27713360636224 8.16744571579802 8.18380618592467
200600_at 7.01449045802841 6.3437675648009 6.54858229921891 6.63087756174301 6.75642721597338 6.03225701000317 5.75678458764804 6.21541562715686 6.51312236148829 6.76043126232616
200601_at 7.79809304074373 7.6906137748728 7.66641493613419 7.9490956094509 7.65099357870898 7.40270319998466 6.67649156496444 7.69128021240569 7.82298200676152 7.60060581851188
200602_at 7.20408864744981 7.12259500674914 7.12724515317962 6.59084124655485 6.90232545164752 7.28697227514054 7.55502506088507 7.42637149486256 7.57034588724314 6.78219195868131
200603_at 7.91337495342666 8.09170709047989 8.38472397596573 7.39628393626199 7.90958713224732 8.36358922110848 8.49218427316045 8.23773754745424 8.41824015249547 8.07315309717288
200606_at 3.86801361619949 3.79746055470607 3.61330304235082 4.06830505982459 3.80823685356255 3.82703460635123 3.86977428784121 3.75422905658118 3.57613021351907 3.796095469232
200608_s_at 6.33656688087953 6.27509242354842 6.42720116843751 6.04981463467557 6.03609547100184 6.58462290764601 6.36004417711646 6.39275007280973 6.41953501253024 6.27819431566259
200609_s_at 8.61292224245083 8.23071470474765 8.32229730446012 8.05808652828613 8.61855342860203 8.02227442464609 8.3285787250502 8.03046055229593 8.12244285078447 8.65161721852468
200610_s_at 8.43010219862173 8.19785975261867 8.80478251966726 8.56704481610405 7.69658582580703 8.4636805493496 8.2188595439039 8.6665074689153 8.66055741485641 8.10704390927093
200612_s_at 7.49592160243717 8.06278350317441 7.84608396404365 8.05984142913765 7.57274194939805 7.97637454173981 7.62520494576281 7.82818897654436 7.89367475510628 7.45411471363912
200613_at 7.75811015084019 8.15850051198451 7.97662556474585 7.41650803867714 7.78392674497113 8.25630365758499 7.72505137204367 7.76396162076465 7.71977081334509 7.64185857132061
200614_at 9.64811856938607 10.0140280630401 9.81548918976486 9.16099584543063 9.79767220901261 9.97179756886108 10.5447971457231 9.61192678691245 9.47556287502251 9.53345460068105
200618_at 7.70061375582834 7.73058496253717 7.86636923109534 7.63565638011635 7.65184364353542 7.8870184424962 7.82610482201681 7.9279268352332 7.39722028922313 7.51260642417969
200619_at 7.26958044815005 7.48387828896892 7.54435481620322 7.04977294208005 7.24204054434473 7.39755690700399 7.27940937507757 7.16560177627333 7.31093446210482 7.54527345777321
200620_at 9.52198189118679 9.55976324489929 9.66041094275697 9.17797809941048 9.74863238101636 9.69363421020642 10.1117826997587 9.76165825418718 9.48158277751631 9.37551183712988
200621_at 9.6932376072061 10.3225598689146 10.0276937734854 9.84061320553987 9.92806566147716 9.91971534379837 9.56881546450221 10.1024375531865 9.99981155254149 10.3287701630227
